trial_row_index,word,peers_row_index,matched,embedding_l2_norm
0,TROMBONE,529,True,2078.178466796875
1,FIDDLE,172,True,2155.1181640625
2,PARENT,352,True,2572.268798828125
3,CEILING,81,True,2208.8056640625
4,SMOG,471,True,2099.839599609375
5,SCRIBBLE,443,True,2126.1650390625
6,SUSPECT,504,True,2184.695556640625
7,HERO,233,True,2294.5390625
8,NURSE,332,True,2312.07861328125
9,GIRL,208,True,2165.506591796875
10,RUST,430,True,2100.65771484375
11,FLIPPER,182,True,2317.82861328125
12,FLEET,180,True,2273.16650390625
13,GUARD,220,True,2223.94091796875
14,TAXI,512,True,2166.38525390625
15,FRECKLE,193,True,1946.967041015625
16,SUMMIT,499,True,2210.209228515625
17,LIGHTNING,283,True,2022.25830078125
18,CLOUD,98,True,2193.979736328125
19,KLEENEX,266,True,1960.7735595703125
20,RIFLE,421,True,2132.399169921875
21,BABY,16,True,2372.4990234375
22,DOLPHIN,148,True,1990.6260986328125
23,PERFUME,369,True,2054.43408203125
24,SWITCH,507,True,2233.099853515625
25,FILM,173,True,2190.662109375
26,HOOK,238,True,2139.807373046875
27,STAR,489,True,2306.537109375
28,WASP,558,True,2078.03515625
29,DANCER,139,True,2124.624267578125
30,COCKTAIL,100,True,2121.46240234375
31,SURVEY,503,True,2190.474365234375
32,HONEY,236,True,2053.260009765625
33,BLADE,38,True,2304.1533203125
34,GREASE,216,True,2158.630126953125
35,SHIRT,454,True,2151.149658203125
36,CASHEW,76,True,2080.745361328125
37,POPCORN,392,True,2019.436767578125
38,FLASK,179,True,2047.5308837890625
39,COIN,104,True,2175.759521484375
40,SCOTCH,442,True,1971.280517578125
41,SPOOL,482,True,2078.85888671875
42,YARN,572,True,2215.84033203125
43,DIVER,147,True,2399.101318359375
44,TOMBSTONE,521,True,1945.2706298828125
45,WIDOW,561,True,2268.732666015625
46,ORCHID,338,True,2170.515625
47,SEAFOOD,445,True,2151.49072265625
48,PUPIL,405,True,2103.415771484375
49,DRUG,160,True,2321.187744140625
50,BARREL,26,True,2114.335205078125
51,CAMEL,69,True,2050.166259765625
52,TWIG,539,True,2006.291748046875
53,MAPLE,300,True,2359.5771484375
54,PUDDLE,404,True,2146.982421875
55,PREACHER,398,True,2018.9822998046875
56,MOTOR,321,True,2387.320068359375
57,STREAM,495,True,2299.386962890625
58,ROBOT,425,True,2209.30712890625
59,TABLE,509,True,2143.565673828125
60,OINTMENT,334,True,2052.00634765625
61,KETCHUP,263,True,2149.766845703125
62,MUSTARD,324,True,2246.53955078125
63,RUG,429,True,2240.561767578125
64,SILK,462,True,2163.503173828125
65,UNCLE,544,True,2333.03759765625
66,COUCH,117,True,2342.70654296875
67,EXPERT,168,True,2365.746826171875
68,PEACH,361,True,2050.108154296875
69,CANYON,72,True,2174.38427734375
70,GYMNAST,222,True,1971.5020751953125
71,MACHINE,296,True,2177.330810546875
72,WHISTLE,560,True,2084.894287109375
73,GANGSTER,200,True,2147.403564453125
74,BULLET,61,True,2121.609619140625
75,RECORD,418,True,2180.54931640625
76,PEPPER,367,True,2269.99462890625
77,CARRIAGE,74,True,2195.431396484375
78,FUNGUS,198,True,2158.63720703125
79,SLIME,468,True,2168.411865234375
80,BOYFRIEND,47,True,2074.873779296875
81,JELLY,256,True,2151.57568359375
82,SHORTCAKE,455,True,1885.3548583984375
83,TROUT,530,True,2173.74658203125
84,MARKER,302,True,2049.922607421875
85,WINDOW,563,True,2224.04931640625
86,POET,389,True,2209.637939453125
87,SLUG,470,True,2165.0400390625
88,HORSE,240,True,2222.9599609375
89,CRAB,123,True,2186.25341796875
90,JUGGLER,259,True,2191.60205078125
91,BUGGY,60,True,2032.0443115234375
92,AIRPLANE,3,True,2049.4208984375
93,VALLEY,546,True,2244.326171875
94,SEAGULL,446,True,2094.89599609375
95,BRANCH,50,True,2201.320068359375
96,LONDON,291,True,2302.394775390625
97,PLAYGROUND,384,True,2052.991455078125
